age,gender,weight_kg,height_cm,bmi,body_fat_pct,exercise_type,met_value,duration_min,intensity,heart_rate,calories_burned
74,0,57.6,175.8,18.65,25.2,Yoga,3.0,107,3,140,961.3
59,1,87.0,162.9,32.78,19.2,Yoga,3.0,72,2,115,709.9
55,1,80.1,177.6,25.39,27.9,Jump Rope,11.0,51,1,85,595.8
43,1,85.0,175.6,27.58,22.4,Yoga,3.0,94,1,83,449.0
29,1,64.4,171.6,21.89,27.0,Jump Rope,11.0,74,3,142,1500.0
59,0,67.9,150.0,30.14,23.7,Running,9.8,55,1,88,457.8
15,0,70.1,165.2,25.66,27.7,Elliptical,6.0,86,1,91,465.1
39,0,82.8,165.1,30.4,30.3,Swimming,8.0,50,2,122,773.9
21,0,71.6,163.3,26.85,26.0,Walking,3.5,92,2,101,597.0
23,0,48.2,153.4,20.47,24.8,HIIT,12.0,90,2,112,1261.3
38,1,58.2,167.2,20.83,19.4,Yoga,3.0,105,3,147,1112.1
15,1,86.8,173.6,28.81,11.7,Walking,3.5,33,1,90,173.2
58,0,55.4,152.7,23.73,11.7,Yoga,3.0,65,2,122,413.0
22,0,66.9,168.2,23.65,28.8,Walking,3.5,68,3,138,687.8
38,0,68.0,164.2,25.2,23.4,Elliptical,6.0,91,2,119,982.1
25,1,51.5,174.0,17.02,19.3,Swimming,8.0,43,3,168,821.1
65,0,74.9,162.4,28.4,26.1,HIIT,12.0,81,2,114,1500.0
31,1,79.3,162.8,29.95,16.4,Cycling,7.5,22,1,74,151.1
22,1,70.7,175.0,23.09,17.9,Running,9.8,75,1,102,703.1
49,1,73.6,170.1,25.46,16.1,Cycling,7.5,70,1,89,573.3
49,1,55.0,183.5,16.34,19.4,Weight Training,5.0,92,1,84,406.3
47,0,71.7,169.6,24.94,26.1,Elliptical,6.0,21,1,105,156.0
73,1,102.0,168.8,35.81,12.1,HIIT,12.0,82,2,88,1500.0
19,1,68.6,171.8,23.23,12.9,Yoga,3.0,35,3,145,403.9
56,0,62.0,161.6,23.73,25.6,Jump Rope,11.0,59,2,103,921.4
53,1,76.6,171.8,25.95,27.0,Cycling,7.5,26,2,136,453.2
72,1,98.0,162.9,36.94,20.9,Swimming,8.0,109,1,84,1172.6
55,1,81.7,177.3,25.97,9.4,Cycling,7.5,87,3,135,1500.0
42,0,56.2,172.5,18.89,25.9,Elliptical,6.0,21,1,73,75.0
21,1,100.1,180.9,30.59,15.2,Cycling,7.5,59,1,101,620.6
23,1,87.4,182.5,26.24,15.7,Weight Training,5.0,49,1,110,379.4
22,0,64.6,172.3,21.77,25.2,Cycling,7.5,54,2,118,690.0
26,0,69.7,157.5,28.11,26.7,Cycling,7.5,25,2,120,317.3
48,1,59.9,165.9,21.78,9.1,Swimming,8.0,115,3,144,1500.0
47,1,83.5,177.9,26.4,17.4,Running,9.8,56,2,129,1217.2
62,0,52.8,160.6,20.46,23.3,Yoga,3.0,16,1,83,64.2
69,1,79.5,178.3,25.01,14.0,Weight Training,5.0,48,3,141,880.2
37,0,52.2,159.0,20.62,31.5,Running,9.8,68,3,145,1287.3
38,1,55.9,179.3,17.39,12.0,HIIT,12.0,113,3,157,1500.0
51,0,73.9,168.5,26.02,28.7,Walking,3.5,116,1,97,506.2
49,1,79.6,178.9,24.87,18.4,Weight Training,5.0,94,1,77,555.6
58,0,81.6,177.7,25.84,22.4,Swimming,8.0,65,3,148,1500.0
54,0,57.7,154.7,24.11,29.3,Rowing,8.5,46,3,124,799.2
36,0,60.2,176.0,19.43,19.0,Swimming,8.0,93,2,108,1096.6
41,0,47.9,164.0,17.78,23.0,Yoga,3.0,88,1,86,234.0
49,0,66.8,162.1,25.43,31.6,Yoga,3.0,26,2,110,165.4
15,1,81.4,174.0,26.91,12.5,Walking,3.5,27,1,90,130.6
49,1,80.3,173.9,26.53,15.6,Running,9.8,44,1,104,494.6
51,0,55.1,170.8,18.9,32.2,Swimming,8.0,100,3,153,1500.0
61,1,76.7,167.9,27.2,21.8,Swimming,8.0,85,1,107,842.6
28,1,73.1,174.6,23.96,17.5,Elliptical,6.0,94,3,145,1500.0
17,1,86.9,176.4,27.93,19.5,Elliptical,6.0,59,3,147,1247.8
15,1,75.3,173.1,25.12,11.3,Jump Rope,11.0,111,2,127,1500.0
19,1,63.7,177.2,20.3,19.2,Swimming,8.0,101,3,164,1500.0
40,1,95.3,170.3,32.85,13.7,Walking,3.5,119,3,156,1500.0
69,0,63.9,158.7,25.37,24.7,Rowing,8.5,111,2,129,1500.0
28,1,96.2,176.1,31.05,27.1,Jump Rope,11.0,84,1,88,1096.8
53,1,84.1,185.9,24.32,25.7,HIIT,12.0,60,1,78,739.9
41,1,66.4,188.2,18.73,13.4,Yoga,3.0,46,1,98,220.6
23,0,55.6,162.9,20.93,24.6,Walking,3.5,97,3,146,938.3
29,1,72.9,184.6,21.38,5.5,Rowing,8.5,50,1,90,402.7
29,1,87.7,169.2,30.63,23.4,HIIT,12.0,44,2,102,1063.8
40,1,87.5,193.0,23.48,17.8,Cycling,7.5,17,1,111,170.6
56,0,68.4,163.5,25.6,28.2,Jump Rope,11.0,51,3,158,1375.6
74,1,87.0,174.7,28.48,21.0,Weight Training,5.0,96,2,134,1389.0
27,0,47.6,162.7,17.98,23.4,HIIT,12.0,112,2,133,1500.0
65,1,99.1,181.8,29.99,16.2,Cycling,7.5,94,3,151,1500.0
46,0,36.7,169.3,12.8,30.5,HIIT,12.0,18,3,128,296.4
53,0,61.2,171.7,20.76,29.2,Cycling,7.5,82,1,90,497.3
63,0,50.5,164.2,18.73,23.6,Running,9.8,57,3,143,1073.2
66,1,86.7,167.7,30.82,6.5,Yoga,3.0,21,3,164,308.5
46,0,73.6,149.4,32.98,32.8,Weight Training,5.0,96,2,127,961.7
18,0,63.7,150.1,28.27,19.0,Weight Training,5.0,57,1,93,273.7
44,0,76.3,155.0,31.78,21.3,Running,9.8,51,1,80,401.7
51,0,70.1,155.4,28.99,27.1,Rowing,8.5,113,2,111,1500.0
37,1,81.1,171.1,27.72,16.4,Jump Rope,11.0,80,2,103,1500.0
53,1,94.8,186.0,27.41,17.3,Running,9.8,60,2,109,1378.9
59,1,108.4,176.3,34.87,8.7,Yoga,3.0,83,1,89,555.1
29,1,71.7,173.5,23.81,25.7,Rowing,8.5,17,3,141,392.2
57,0,67.0,163.0,25.21,24.7,Running,9.8,49,1,93,385.7
43,1,78.9,169.7,27.4,18.9,Elliptical,6.0,29,1,97,231.8
50,0,60.4,160.1,23.55,26.8,Elliptical,6.0,94,1,94,484.8
27,1,82.5,165.0,30.3,8.6,Swimming,8.0,41,3,170,1084.3
46,1,72.1,186.5,20.74,22.5,Weight Training,5.0,90,2,117,1019.3
21,1,62.8,177.0,20.05,15.5,Cycling,7.5,83,2,132,1160.3
73,0,67.5,162.9,25.44,28.4,Rowing,8.5,67,3,163,1436.9
65,1,85.3,182.3,25.68,14.5,Running,9.8,81,1,76,850.0
36,1,73.0,177.4,23.2,11.4,Weight Training,5.0,89,1,94,536.6
42,1,83.2,172.8,27.88,14.8,Elliptical,6.0,53,3,167,1147.9
16,0,77.8,156.0,31.95,28.8,Swimming,8.0,20,1,85,140.1
56,1,68.5,165.6,25.0,17.5,Elliptical,6.0,28,1,80,177.5
59,1,80.5,166.5,29.06,15.0,Rowing,8.5,101,2,124,1500.0
71,0,69.0,158.9,27.32,22.9,Swimming,8.0,18,2,122,247.3
67,0,68.7,151.8,29.83,20.9,Walking,3.5,30,2,145,295.2
20,1,85.4,178.9,26.68,10.7,Cycling,7.5,21,1,102,199.5
42,1,64.6,174.3,21.27,17.4,Jump Rope,11.0,41,2,126,773.3
42,1,75.8,166.5,27.33,17.4,Cycling,7.5,81,2,111,1215.3
58,0,62.7,153.7,26.54,25.2,Elliptical,6.0,17,3,133,276.9
58,0,79.2,162.3,30.08,28.7,Rowing,8.5,46,1,104,402.5
34,0,62.8,166.2,22.73,25.2,Rowing,8.5,62,3,155,1243.6
44,1,82.5,176.3,26.55,19.5,Rowing,8.5,82,1,89,776.3
25,0,56.2,139.6,28.83,33.5,HIIT,12.0,24,3,150,563.6
72,1,79.3,165.5,28.96,14.2,Walking,3.5,15,3,157,244.9
69,0,66.9,170.0,23.17,28.2,Weight Training,5.0,32,3,143,444.5
42,0,58.3,152.6,25.04,27.6,Cycling,7.5,108,2,94,1136.4
39,0,61.1,161.2,23.53,27.7,Swimming,8.0,42,2,113,522.4
53,1,64.0,159.5,25.16,24.4,Swimming,8.0,57,2,119,787.7
47,1,58.8,176.8,18.81,14.7,Running,9.8,94,1,78,687.2
15,1,87.4,174.6,28.68,16.9,Swimming,8.0,36,3,150,956.4
71,1,78.2,170.4,26.95,19.1,Weight Training,5.0,78,3,173,1500.0
41,0,69.2,156.9,28.12,23.0,Weight Training,5.0,44,1,89,218.2
71,1,65.2,177.4,20.73,12.0,Swimming,8.0,55,1,75,387.3
66,0,75.3,165.3,27.56,25.9,Elliptical,6.0,53,2,122,643.1
27,1,59.9,179.9,18.51,15.3,Weight Training,5.0,115,3,152,1500.0
55,1,89.9,174.5,29.53,20.8,Weight Training,5.0,88,3,150,1500.0
17,0,52.5,175.1,17.12,18.4,Swimming,8.0,39,2,106,387.0
53,0,57.3,183.9,16.95,21.4,Yoga,3.0,25,2,127,161.5
20,1,79.5,182.5,23.87,22.0,Swimming,8.0,101,2,144,1500.0
22,1,109.8,185.6,31.89,18.5,Jump Rope,11.0,36,1,103,566.1
41,0,69.0,162.2,26.24,27.1,Swimming,8.0,34,3,161,687.4
23,0,57.1,152.8,24.45,26.6,Elliptical,6.0,19,1,76,70.8
51,0,57.2,159.0,22.6,35.3,Swimming,8.0,36,3,145,661.0
47,0,64.3,173.2,21.43,26.8,Jump Rope,11.0,95,2,110,1500.0
65,0,60.5,163.5,22.63,14.7,Running,9.8,32,1,89,255.4
56,1,77.2,175.5,25.07,19.9,Weight Training,5.0,93,3,158,1500.0
58,1,84.6,166.9,30.4,12.5,Swimming,8.0,108,3,157,1500.0
38,1,87.7,174.1,28.96,19.6,Running,9.8,90,1,91,1007.6
29,1,87.9,178.1,27.71,17.1,Running,9.8,16,3,139,498.0
73,0,71.8,167.4,25.62,27.8,Walking,3.5,117,1,99,502.3
68,0,66.2,156.7,26.99,23.6,Weight Training,5.0,17,1,95,89.1
46,0,40.1,173.0,13.41,25.0,Yoga,3.0,58,2,88,251.0
46,1,89.6,163.2,33.64,13.4,Cycling,7.5,92,2,124,1500.0
38,0,59.0,170.6,20.27,19.2,Swimming,8.0,50,2,108,570.8
55,0,70.8,173.5,23.51,26.0,Running,9.8,51,2,117,838.0
66,1,82.0,163.5,30.67,11.4,Weight Training,5.0,92,1,80,621.1
63,1,81.8,189.5,22.77,20.7,Jump Rope,11.0,37,1,92,440.2
63,1,54.4,163.9,20.25,20.0,Swimming,8.0,67,2,123,868.2
72,0,78.7,158.2,31.44,26.2,Running,9.8,93,1,94,881.3
66,0,61.1,150.8,26.89,23.7,Weight Training,5.0,76,2,122,696.1
26,1,86.5,158.3,34.5,11.4,Rowing,8.5,85,3,152,1500.0
53,1,50.3,181.3,15.32,14.8,Elliptical,6.0,72,2,115,709.7
16,0,45.9,160.4,17.86,22.9,Jump Rope,11.0,47,3,152,915.8
17,1,64.1,166.8,23.04,19.5,Elliptical,6.0,71,3,158,1216.3
63,0,55.0,158.8,21.81,27.1,Swimming,8.0,63,1,90,410.0
51,1,103.4,164.3,38.31,12.5,Weight Training,5.0,52,2,120,797.2
63,1,62.1,178.6,19.47,13.9,Yoga,3.0,90,3,140,990.8
70,1,87.8,175.2,28.61,19.4,Walking,3.5,65,2,126,772.7
31,0,62.6,159.3,24.68,25.8,Running,9.8,72,3,161,1500.0
73,0,70.0,170.1,24.2,23.2,Swimming,8.0,38,1,99,285.1
63,1,70.6,176.0,22.78,22.3,Running,9.8,92,1,88,884.7
16,0,76.3,172.8,25.57,22.6,Swimming,8.0,56,1,101,420.8
16,1,81.9,168.0,29.01,13.3,HIIT,12.0,85,3,151,1500.0
42,1,63.6,167.7,22.61,13.9,Rowing,8.5,34,2,104,470.0
68,0,61.8,151.6,26.88,27.5,HIIT,12.0,107,1,99,998.7
37,0,64.4,154.6,26.96,25.2,Jump Rope,11.0,58,3,140,1417.5
51,0,65.6,159.5,25.79,32.3,Weight Training,5.0,68,2,113,637.4
46,0,68.8,156.6,28.05,23.5,Yoga,3.0,61,3,150,585.8
47,1,97.9,158.8,38.83,20.5,Jump Rope,11.0,21,2,124,574.2
15,0,58.6,170.2,20.22,23.6,Running,9.8,19,3,158,419.0
33,0,61.7,153.5,26.18,27.6,Jump Rope,11.0,114,3,133,1500.0
16,1,87.8,169.0,30.75,27.0,Cycling,7.5,111,3,155,1500.0
67,1,66.9,170.7,22.94,19.0,HIIT,12.0,66,1,75,652.2
58,1,80.6,171.0,27.55,12.1,Weight Training,5.0,91,3,151,1500.0
40,1,75.9,187.0,21.72,19.9,Elliptical,6.0,46,3,150,889.1
46,0,89.4,173.1,29.84,20.1,Elliptical,6.0,115,2,99,1405.6
20,0,65.6,170.7,22.5,35.3,Weight Training,5.0,115,3,172,1500.0
46,1,64.3,169.1,22.48,21.6,Yoga,3.0,41,1,70,106.3
69,1,72.4,175.9,23.39,22.1,Running,9.8,64,1,92,622.1
18,0,62.4,170.1,21.57,22.9,Weight Training,5.0,80,3,147,1044.8
69,0,72.4,167.9,25.68,22.1,Jump Rope,11.0,91,3,147,1500.0
25,0,88.2,170.9,30.2,22.0,Rowing,8.5,52,2,102,840.5
70,0,56.2,155.4,23.27,28.4,Cycling,7.5,70,3,155,1202.2
73,0,44.8,162.2,17.05,25.5,HIIT,12.0,77,1,114,626.2
31,1,83.8,177.9,26.46,16.4,Yoga,3.0,44,1,89,202.0
52,1,79.7,170.8,27.33,17.4,Jump Rope,11.0,60,3,153,1500.0
38,1,66.0,187.2,18.84,9.4,Jump Rope,11.0,84,2,119,1500.0
19,1,81.2,177.1,25.91,17.0,Jump Rope,11.0,81,3,159,1500.0
66,0,66.4,150.9,29.17,21.1,Elliptical,6.0,65,3,160,1060.9
48,1,87.3,171.1,29.84,11.6,Running,9.8,108,2,106,1500.0
20,0,77.2,150.3,34.14,26.9,Elliptical,6.0,73,3,140,1264.3
36,0,81.9,170.9,28.06,24.0,Weight Training,5.0,97,2,112,1001.7
25,0,45.9,150.7,20.25,18.8,Cycling,7.5,73,2,121,722.4
62,0,74.8,167.9,26.51,26.1,Weight Training,5.0,64,1,100,348.2
30,0,61.3,156.9,24.9,28.8,HIIT,12.0,94,3,125,1500.0
47,0,53.6,154.6,22.42,19.5,Weight Training,5.0,82,3,154,993.7
23,0,48.4,162.2,18.42,23.5,Yoga,3.0,66,2,136,424.6
74,1,62.4,195.2,16.39,19.8,Swimming,8.0,59,1,87,455.4
73,0,57.8,162.6,21.84,29.8,Cycling,7.5,23,1,89,147.9
20,1,61.2,174.3,20.14,19.4,Walking,3.5,78,1,100,336.6
30,1,94.5,171.4,32.16,22.3,HIIT,12.0,22,3,158,901.2
43,0,57.9,147.9,26.47,17.1,Swimming,8.0,63,3,147,1143.4
17,0,48.9,162.9,18.43,26.7,Elliptical,6.0,69,3,154,911.7
34,1,58.9,181.6,17.86,20.6,Rowing,8.5,104,2,88,1251.3
74,1,93.5,169.8,32.43,17.3,HIIT,12.0,23,2,124,611.3
73,1,85.8,172.4,28.88,19.1,Yoga,3.0,26,3,150,397.7
50,1,69.8,164.5,25.81,21.7,Jump Rope,11.0,106,3,166,1500.0
33,0,64.7,161.9,24.68,19.1,Cycling,7.5,83,2,136,1088.1
40,0,63.6,149.6,28.41,18.3,HIIT,12.0,94,1,88,841.4
17,0,78.9,164.8,29.03,25.3,HIIT,12.0,33,2,133,708.1
33,1,72.9,175.7,23.6,15.8,Walking,3.5,101,1,82,419.0
34,0,52.6,173.0,17.58,25.1,Swimming,8.0,22,1,90,136.4
46,1,86.7,193.3,23.2,14.8,HIIT,12.0,116,2,133,1500.0
21,0,66.5,153.7,28.13,18.7,Swimming,8.0,32,3,152,625.8
66,1,95.2,178.9,29.74,25.1,Jump Rope,11.0,40,2,127,1029.7
55,0,70.1,162.4,26.58,22.2,Yoga,3.0,57,2,120,371.8
47,0,62.2,161.5,23.87,22.7,HIIT,12.0,40,1,84,325.4
54,1,76.3,175.0,24.92,16.3,Rowing,8.5,119,3,148,1500.0
53,1,91.0,170.5,31.32,13.7,Rowing,8.5,93,3,145,1500.0
32,1,77.5,164.5,28.65,10.3,Yoga,3.0,28,2,115,254.4
54,1,74.7,171.2,25.47,20.2,Elliptical,6.0,21,2,133,291.9
15,1,91.7,175.8,29.65,32.7,Walking,3.5,103,3,142,1500.0
25,0,63.4,163.1,23.83,21.1,HIIT,12.0,16,3,138,427.8
42,1,66.3,167.4,23.69,19.7,Elliptical,6.0,62,2,139,821.7
71,0,52.3,161.6,20.01,22.2,Weight Training,5.0,84,3,149,1017.0
39,0,62.9,154.7,26.29,34.5,Running,9.8,87,1,102,704.6
64,0,54.2,168.0,19.21,11.1,Weight Training,5.0,70,3,165,949.3
37,0,67.0,154.8,27.95,16.7,Cycling,7.5,35,1,92,229.2
45,0,42.4,157.8,17.01,31.8,Jump Rope,11.0,89,2,129,1106.7
44,1,76.8,188.3,21.66,20.4,Cycling,7.5,21,1,85,164.2
56,1,78.6,178.2,24.73,17.9,Rowing,8.5,110,3,139,1500.0
49,0,63.1,155.4,26.11,25.5,Elliptical,6.0,118,1,93,633.6
21,0,55.5,163.3,20.83,25.6,HIIT,12.0,54,3,170,1355.5
74,1,86.2,182.5,25.89,23.4,Yoga,3.0,41,1,73,202.5
30,1,70.4,179.7,21.8,22.9,Rowing,8.5,91,3,157,1500.0
40,0,68.6,166.3,24.82,24.9,Cycling,7.5,16,2,116,215.5
62,1,99.4,179.9,30.71,15.2,Running,9.8,27,2,102,653.2
71,1,74.8,171.2,25.55,11.7,Rowing,8.5,18,3,149,461.9
66,1,51.7,181.1,15.76,12.2,Elliptical,6.0,82,1,85,440.7
74,0,69.3,168.4,24.44,24.5,Weight Training,5.0,40,2,113,365.5
63,1,107.2,160.0,41.88,18.8,Cycling,7.5,101,1,90,1169.8
16,0,77.4,161.6,29.63,29.3,HIIT,12.0,34,3,150,1090.9
15,0,71.3,163.3,26.73,17.4,Running,9.8,108,1,67,781.6
62,0,59.5,164.3,22.05,34.0,Weight Training,5.0,103,2,138,1004.1
26,0,62.5,164.1,23.2,30.0,Weight Training,5.0,71,3,165,997.0
19,0,75.9,164.6,28.04,34.2,Elliptical,6.0,41,3,166,715.8
